Tr_anchor,aad_rho_prvt
0.5,3.1737771700242923
0.5124358974358975,3.149365724863883
0.5248717948717949,3.130335395848703
0.5373076923076923,3.1200353122810442
0.5497435897435897,3.118358259648951
0.5621794871794872,3.1237951576092877
0.5746153846153846,3.134903353264934
0.5870512820512821,3.1497180931129676
0.5994871794871794,3.166651408913556
0.6119230769230769,3.1844600155904494
0.6243589743589744,3.2001861724256733
0.6367948717948718,3.2129466304609395
0.6492307692307693,3.220519386056337
0.6616666666666666,3.2211169407378555
0.6741025641025641,3.2134938875551766
0.6865384615384615,3.1981578454697366
0.698974358974359,3.1772407097721334
0.7114102564102565,3.1523457059795263
0.7238461538461538,3.130236187101866
0.7362820512820513,3.1128837971627554
0.7487179487179487,3.108145625280667
0.7611538461538461,3.1235568829487574
0.7735897435897436,3.1701658094189042
0.786025641025641,3.2565995865159594
0.7984615384615384,3.3925363756453377
0.8108974358974359,3.5747551425669215
0.8233333333333333,3.813979370449458
0.8357692307692308,4.1330061299828555
0.8482051282051282,4.535090739382861
0.8606410256410256,5.061711371756445
0.8730769230769231,5.734499735516929
0.8855128205128204,6.587944270535525
0.897948717948718,7.689702817598649
0.9103846153846153,9.125404974238402
0.9228205128205128,11.023211937328433
0.9352564102564103,13.58534392038099
0.9476923076923076,17.180329904639063
0.9601282051282052,22.39359945222463
0.9725641025641025,30.62716465221696
0.985,45.93761149408175
